,AUC,Accuracy,F1,Precision,Recall
MLP,0.801216041526791,0.8253464203233256,0.4454628780934922,0.6731301939058172,0.33287671232876714
RNN,0.8123483079636441,0.8305427251732102,0.4782222222222222,0.6810126582278481,0.3684931506849315
SAINT,0.8126684771171748,0.8340069284064665,0.4719926538108356,0.7158774373259053,0.35205479452054794
