,AUC,Accuracy,F1,Precision,Recall
MLP,0.799415998470028,0.8519884119041349,0.39439655172413796,0.7689075630252101,0.26521739130434785
RNN,0.7966811734139367,0.8533052409797208,0.4055496264674493,0.7692307692307693,0.2753623188405797
SAINT,0.8219065877424981,0.8606794838030024,0.48188050930460335,0.743202416918429,0.3565217391304348
